ID,SeriousDlqin2yrs
129460,0
134018,0
86523,0
138466,0
143905,0
118893,1
124587,0
136337,1
16700,0
57857,0
15734,0
108865,0
70643,0
63937,0
45630,1
134,0
19051,0
70017,0
141425,0
54428,0
22909,1
50665,1
14452,0
25646,0
7670,1
58203,0
34957,0
12339,0
57387,0
135184,0
67705,1
88706,0
50761,0
128898,1
141806,1
26485,0
35726,1
7684,0
110249,0
93798,1
15352,0
124345,1
114161,0
134264,1
25722,0
80217,0
39434,0
148053,0
36794,0
36180,0
111180,0
109175,0
89108,0
102313,0
1237,1
115697,1
117088,1
32708,0
56470,1
32678,0
7520,0
19850,1
59381,0
72715,0
120597,1
64821,1
85756,1
87380,1
4468,1
117685,0
14303,0
137190,0
16530,0
87639,0
52576,0
51230,1
8197,1
8926,0
12082,0
36469,0
71537,1
143473,0
40512,0
142333,0
122859,0
123494,1
11783,0
93815,0
34965,0
28589,1
4382,0
103120,0
67853,0
1341,0
61792,0
133333,0
33457,0
84785,0
88130,0
44198,0
119157,0
24998,0
122763,1
121251,1
78085,1
5826,1
10776,0
149700,0
41971,0
45082,1
99466,1
105695,0
46531,0
92571,0
149280,1
9307,0
3832,1
136229,0
9749,0
22416,0
8923,0
122317,0
75316,0
90063,0
125217,0
7152,0
98829,0
7731,0
73791,1
77593,0
44064,0
97789,0
96776,0
65178,1
91449,0
99847,1
67431,0
37950,0
25116,0
125291,1
81884,0
54800,1
56112,0
101235,0
46574,0
40808,0
142283,0
51874,0
51128,1
114138,0
13547,0
6473,0
26439,1
117091,1
18597,0
94348,0
30020,0
63311,1
29567,1
137357,0
116355,0
16821,0
145830,1
94237,0
138891,0
125287,0
43538,1
18098,1
11471,0
50859,1
105579,0
1026,1
48669,0
4369,0
8675,0
30495,0
46390,0
85342,0
145455,1
84151,0
99728,1
51431,0
40461,0
74752,0
146347,0
89627,0
119495,1
5535,0
6886,0
82573,0
5856,0
112565,0
141875,0
116917,0
82648,0
61263,0
149132,0
136782,0
73326,1
36736,0
135464,0
134733,0
109407,0
80387,0
69821,0
36225,0
106353,1
23899,0
98340,1
1459,0
124570,0
125522,0
65121,0
111475,0
134388,1
136272,1
63305,0
51318,0
124790,0
137374,0
61364,1
130363,1
115501,1
126422,1
74959,0
20728,0
98840,0
86036,0
126021,0
106773,0
114366,0
38396,0
64618,1
44641,1
15441,0
70716,0
149477,0
4458,1
85932,0
96810,1
35535,1
25662,0
81621,0
50408,0
91625,0
144293,0
102549,0
126255,1
121831,1
102237,1
87682,1
1128,1
113669,0
143810,0
2537,0
32514,0
27431,0
12324,0
4255,0
120638,1
140287,0
15575,0
102682,0
66848,0
42860,0
64695,1
78618,0
125868,0
95046,0
148199,0
48429,1
103265,0
88744,0
95916,0
85231,0
59848,0
102903,0
6418,0
56585,0
16433,0
143329,1
35325,1
129113,0
20640,0
81767,1
125251,0
111116,1
78367,0
91129,1
100868,0
142892,0
54362,0
90671,0
68108,0
24347,0
64400,0
11051,0
23652,0
35741,0
106355,1
43631,0
60105,0
4167,0
139748,0
108628,0
130842,0
73121,1
144847,1
98908,0
107258,0
7310,0
66363,1
105182,0
109290,0
30480,0
117321,0
101188,1
51893,0
72716,0
133102,0
25151,0
87813,1
75161,0
69389,0
99673,0
124140,0
78958,0
93773,0
48062,0
127963,0
92341,0
51786,0
123328,0
86416,0
48391,0
7238,1
77088,0
60633,0
127141,0
83640,0
94760,0
99612,0
75729,0
74668,0
91592,0
8120,0
52033,0
91872,0
3618,0
18561,0
113602,0
140838,1
148161,0
145995,0
38762,0
11025,0
60824,0
30964,0
34568,0
44328,0
77621,0
17489,1
1449,0
111125,0
56855,0
21162,0
21765,1
70454,0
141564,1
122653,0
81969,0
6623,0
13636,0
35440,1
427,0
91482,0
16494,1
9668,0
25314,0
6527,1
113696,0
120716,0
123407,0
6045,0
102619,0
89593,0
146461,0
144504,0
33304,1
38522,0
35919,0
12916,0
64933,1
65146,0
20257,1
13337,0
49821,1
35035,0
52244,0
61391,0
59255,0
82951,0
77312,1
121599,0
73110,0
63200,0
148328,0
134738,1
12550,0
36966,0
117478,0
7824,1
18671,0
12238,0
113183,0
138486,1
135525,0
89449,0
74982,0
82665,0
148908,0
110931,0
135483,0
74838,0
113813,0
74545,1
98377,0
4788,0
17861,0
48878,1
33410,1
31696,0
114449,0
25788,0
141779,0
94354,0
20374,0
35587,0
53581,0
96356,0
55729,0
127598,0
23760,0
75498,0
18516,0
47209,0
20941,0
48549,0
59387,1
119215,0
72253,0
49924,1
123466,0
95055,1
111457,0
73306,1
99154,1
8249,1
47007,0
22760,0
141212,1
121061,0
1847,0
17047,0
79153,0
97307,0
112605,0
6181,0
133193,0
48299,0
11793,0
23345,0
109678,0
64100,0
95271,0
145753,1
139739,0
35141,0
73076,0
27110,0
103760,1
13277,0
135351,0
77959,0
58411,0
2346,0
145711,1
41475,0
102443,0
43839,1
126788,1
83174,1
7137,1
43256,0
112876,0
31034,0
73489,0
102108,0
136720,0
10254,0
122083,0
94683,1
84309,0
117684,1
112563,1
135195,1
43633,1
51680,0
112812,0
86540,0
27185,1
53039,0
99611,0
41063,1
85471,0
147094,0
90426,0
54757,0
38420,0
12487,0
105351,1
104084,0
17085,0
126312,0
102967,0
128155,0
55487,0
88489,0
6709,0
89488,0
131366,1
12182,1
42157,0
42217,0
77996,0
131091,0
39249,1
139367,0
35382,0
102884,1
98592,0
123498,0
42488,0
8456,0
12376,0
20160,0
143667,0
34949,0
69311,0
925,0
46791,0
105258,0
91884,0
143763,0
61288,0
593,0
96955,0
586,1
105685,0
133222,1
43007,0
139305,0
18039,0
123467,1
11926,0
80773,0
128641,1
55471,0
59906,0
11618,1
76625,0
54513,0
25,0
50313,1
34392,0
12352,0
130790,1
71456,0
96489,0
143716,1
65981,0
44623,0
7090,0
54529,1
6828,0
13041,0
62859,0
50776,0
64691,0
2199,0
137673,1
89207,0
105396,0
142822,1
36342,0
141229,0
20865,0
63103,0
127171,0
147415,0
2609,0
87431,0
30198,0
120106,0
32624,1
117518,0
72635,0
90577,0
147026,0
80409,0
29527,1
39508,1
93356,0
135632,0
74943,0
15901,0
105736,0
109997,0
135992,0
45338,1
40378,0
665,0
88437,1
76725,0
123116,1
85368,0
84690,0
46676,0
54508,0
93955,0
